V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Intro1,Intro2,Intro3,Intro4,Q92,mic1,mic2,mic3,mic4,mic5,like7,likecont_1,friends,Q69,Q101,attn1,attn2,rmq_1,rmq_2,rmq_3,rmq_4,rmq_5,rmq_6,rmq_7,rmq_8,rmq_9,rmq_10,rmq_11,rmq_12,rmq_13,rmq_14,rmq_15,rmq_16,rmq_17,rmq_18,rmq_19,rmq_20,rmq_21,rmq_22,rmq_23,rmq_24,rmq_25,rmq_26,rmq_27,rmq_28,rmq_29,rmq_30,attnchk1,rfq_1,rfq_2,rfq_3,rfq_4,rfq_5,rfq_6,rfq_7,rfq_8,rfq_9,rfq_10,rfq_11,age,gender,race_1,sex,sex_TEXT,job,edu_1,income_1,recall,Q34,honest1_12,cult1_12,advent1_12,indep1_12,persis1_12,thrifty1_12,Q159,honest2_12,advent2_12,intel2_12,greg2_12,persis2_12,Q166,loyal3_12,metic3_12,intel3_12,thrifty3_12,persis3_12,Q173,metic4_12,intel4_12,greg4_12,stub4_12,loyal4_12,Q180,greg5_12,fun5_12,advent5_12,intel5_12,persis5_12,prevmic,comments,Q96,micpass,LocationLatitude,LocationLongitude,LocationAccuracy,const_base,recall_sum,recall_avg
R_2wSqOxMaqv7M9Bp,Default Response Set,Anonymous,,,24.30.63.117,0,2/21/16 17:26,2/21/16 17:34,1,1,1,1,1,1,,,1,,,5,6,5,1,1,survey,survey,5,2,5,6,5,5,5,6,5,2,6,1,4,2,6,5,4,1,6,6,5,4,5,2,5,2,2,5,6,5,2,2,1,4,1,1,1,4,1,2,4,2,36,2,3,1,,Training Manager,9,4,"MIchael is very close to his family as he will stop what he's doing to attend to them or just be there in general. He is somewhat of a perfectionist and this has caused him to be late on some assignments, as he constantly critiques them. ",,,,,,,,,,,,,,1,5,5,4,5,1,,,,,,,,,,,,,2,,1,mic3,34.09179688,-84.22090149,-1,2.395989011,94.79,2.36975
R_2ysFlg1UKBT5Vnc,Default Response Set,Anonymous,,,74.96.152.128,0,2/21/16 17:26,2/21/16 17:35,1,1,1,1,1,1,,1,,,,4,2,4,1,1,survey,survey,5,2,5,6,4,5,4,5,1,5,4,1,2,3,5,2,4,3,2,2,5,3,2,1,3,2,4,6,6,3,2,4,3,4,3,4,3,4,2,4,5,2,30,1,4,1,,IT Supervisor,8,4,"Michael is very adventuorus likes to ski, climb even if his life is at risk. he likes to read book. Very blunt about how he feels and expresses iut verbally. Told his friends needs more work on his painting.",,,,,,,,1,5,5,5,4,4,,,,,,,,,,,,,,,,,,,2,,1,mic2,38.89219666,-76.76809692,-1,2.43,77.69,2.589666667
R_1N2GdHgiBIvDkmP,Default Response Set,Anonymous,,,66.87.132.216,0,2/21/16 17:28,2/21/16 17:35,1,1,1,1,1,1,,1,,,,4,2,2,1,1,survey,survey,4,1,1,5,5,3,1,2,5,5,3,1,6,2,4,3,1,4,3,6,3,2,1,6,4,2,1,2,1,2,2,5,4,3,4,3,4,3,5,5,1,4,38,1,4,1,,unemployed,6,1,"Michael corrects people's grammar in front of them. He is a good conversationalist and makes friends and plans often. He has climbed Mt McKinley and shot the rapids in Arizona, as well as mountain biked at night and skydived. He can talk about a wide variety of topics and does not hold back on his opinion. ",,,,,,,,1,4,2,2,2,5,,,,,,,,,,,,,,,,,,,2,,1,mic2,35.16810608,-80.91529846,-1,2.43,109.72,2.676097561
R_2QzHwQYQ4J6a9wJ,Default Response Set,Anonymous,,,24.154.244.61,0,2/21/16 17:27,2/21/16 17:35,1,1,1,1,1,1,,,,,1,2,2,2,1,1,survey,survey,6,5,5,6,6,5,5,5,5,4,4,2,3,3,5,4,3,3,4,4,4,3,4,2,5,3,4,5,4,4,2,3,3,4,4,4,3,3,3,4,4,2,32,1,4,1,,Art Teacher,9,4,"I remember that Michael is a go-getter type. Once he makes a decision to do something or work towards something, it is difficult to get him to change his mind. He is a conversationalist and very articulate speaker, sometimes to the point where the conversations are completely directed by him. He reads often, and like to share ideas from what he reads in conversations. He is also very social, and his activities include dancing, drinking, social gatherings, and going to clubs. Sometimes his behavior can be quite rowdy.",,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,4,4,2,None.,1,mic5,40.69900513,-80.03340149,-1,2.449836066,160.67,2.295285714
R_3KwMmhOm4Zcc83N,Default Response Set,Anonymous,,,68.32.226.208,0,2/21/16 17:28,2/21/16 17:36,1,1,1,1,1,1,,,1,,,5,5,5,1,1,survey,survey,5,2,3,5,4,2,3,5,2,4,3,1,3,1,2,2,1,2,3,2,3,3,1,4,5,2,2,5,4,2,2,4,2,3,2,4,2,4,3,1,5,2,33,1,4,2,,software developer,8,4,"Michael is very close to his parents.  He calls and visits them frequently, even if at the expense of his friends.  He is very careful with his money, and splits his bills evenly.  He tends to think to hard about some problems, which sometimes results in him missing deadlines.",,,,,,,,,,,,,,1,4,5,6,5,5,,,,,,,,,,,,,2,,1,mic3,36.6703949,-81.96720123,-1,2.395989011,85.37,2.371388889
R_1NgiVre5G3oNjWd,Default Response Set,Anonymous,,,24.62.12.254,0,2/21/16 17:32,2/21/16 17:38,1,1,1,1,1,1,,,,1,,5,4,4,1,1,survey,survey,4,3,4,5,4,2,3,4,5,5,4,2,3,3,4,4,2,2,4,3,3,4,2,3,4,3,5,5,4,5,2,3,4,3,4,3,4,3,4,3,3,3,30,1,4,1,,CEO,8,4,"Michael is detail oriented and very careful. He wants everything to be perfect and sometimes misses deadlines due to this. He's very well read, and knows history and literature, and he's very easy to talk to, which leads to him making lots of friends. He also calls his parents regularly. ",,,,,,,,,,,,,,,,,,,,1,3,5,4,4,5,,,,,,,2,,1,mic4,42.20930481,-70.93260193,-1,2.431037736,76.45,2.184285714
R_3ncKCioiACU1c6c,Default Response Set,Anonymous,,,108.84.28.143,0,2/21/16 17:25,2/21/16 17:39,1,1,1,1,1,1,1,,,,,2,2,2,1,1,survey,survey,5,6,3,5,5,3,3,5,2,3,3,1,4,5,2,5,3,3,2,4,4,2,3,2,4,3,4,5,5,5,2,1,1,5,1,5,1,4,1,2,5,2,65,1,4,1,,Retired,8,4,Michael exhibited the following: / Studied Art/History / Took risks / Didn't need anyone who was close to him,1,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2,Thank you for the opportunity to participate.  I hope my input is useful.,1,mic1,34.05599976,-84.37950134,-1,2.532282609,22.61,2.261
R_1GW7Ay8Efymiqoq,Default Response Set,Anonymous,,,75.165.108.160,0,2/21/16 17:28,2/21/16 17:40,1,1,1,1,1,1,1,,,,,1,0,1,1,1,survey,survey,5,4,2,4,3,2,2,4,2,5,3,1,4,5,1,4,4,3,4,3,4,4,3,5,3,2,5,5,3,3,2,3,1,3,1,5,1,3,1,3,4,1,57,2,4,1,,clerical support,7,2,"Michael is a risk taker, that doesn't get along well with his peers, and seems to feel the need to do things that are extremely risky just for the thrill of it.  He is trying to save money, and he won't loan money to friends.  ",1,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,interesting study. Haven't done one quite like it before.  Thank you,1,mic1,47.40840149,-122.1957016,-1,2.532282609,76.72,2.131111111
R_2SxJxyUPcZx0zeR,Default Response Set,Anonymous,,,50.38.203.161,0,2/21/16 17:34,2/21/16 17:41,1,1,1,1,1,1,1,,,,,5,5,5,1,1,survey,survey,5,2,6,5,5,5,3,6,4,4,4,2,1,4,3,5,5,4,3,3,6,2,5,2,5,3,5,6,6,4,2,2,2,5,2,4,2,5,1,1,5,1,48,2,4,1,,Aide,6,4,"He is honest, never cheats, and informs on rule breakers. He is adventurous, and safes regularly...",1,5,4,5,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,2,Thanks,1,mic1,34.23379517,-110.0772018,-1,2.532282609,23.29,2.329
R_1ZJNc5URvK5FB0R,Default Response Set,Anonymous,,,107.136.228.29,0,2/21/16 17:34,2/21/16 17:41,1,1,1,1,1,1,,,1,,,5,5,5,1,1,5,2,5,1,1,4,4,1,5,5,1,3,5,1,6,1,4,4,5,3,5,4,2,5,3,4,5,1,3,5,5,6,2,3,5,4,5,4,5,4,4,3,4,3,36,2,5,1,,Administrative,5,3,"Michael is very family-oriented, visiting or calling his parents very frequently even at the expense of having friends. He is very cautious about spending money and frequently uses internet promotions, buys clothing from second hand stores. ",,,,,,,,,,,,,,1,6,6,6,6,6,,,,,,,,,,,,,2,,1,mic3,30.75869751,-103.9248962,-1,2.395989011,67.06,2.483703704
R_UiRIfOmoye9P0aJ,Default Response Set,Anonymous,,,174.24.213.137,0,2/21/16 17:27,2/21/16 17:42,1,1,1,1,1,1,,,,1,,5,5,5,1,1,survey,survey,4,2,2,5,3,2,3,3,2,4,6,1,4,1,4,4,2,1,5,5,4,5,1,4,3,2,3,4,3,3,2,3,3,2,3,4,3,4,3,2,1,2,33,1,4,1,,working on Amazon mTurk,5,3,"Michael is consumed by his work which makes him perform well but sometimes makes him overthink things which slows him down. /  / Michael has good personal skills so it is easy for him to make friends. Sometimes he makes commitments on a whim though which he  may not be able to fulfill due to his being caught in the moment of conversations. /  / Michael is friendly and is good at meeting people at parties, but sometimes his conversations can seem hurried. /  / Michael has a close relationship with his parents. He eats dinner with them once a week and calls them regularly.",,,,,,,,,,,,,,,,,,,,1,5,2,4,4,5,,,,,,,2,,1,mic4,47.49560547,-122.2514954,-1,2.431037736,194.05,2.456329114
R_1n9DPa1EKAoUMGn,Default Response Set,Anonymous,,,75.100.157.114,0,2/21/16 17:33,2/21/16 17:42,1,1,1,1,1,1,,1,,,,2,2,2,1,1,survey,survey,4,1,1,4,3,4,3,4,4,2,4,1,2,1,5,3,1,1,4,5,4,4,1,6,4,2,1,3,2,6,2,4,3,2,3,4,3,4,3,3,1,1,22,2,4,3,,currently unemployed,5,4,He rarely has time for discussions due to how many friends he has so his conversations usually seem superficial. He hasn't had avalanche training but has gone backwoods skiing or some such. He is adventureaome. He has many friends. He takes risks,,,,,,,,1,0,2,2,0,3,,,,,,,,,,,,,,,,,,,2,,1,mic2,39.4552002,-85.67359924,-1,2.43,79.35,2.645
R_1fdyMofNDE4Z5x0,Default Response Set,Anonymous,,,216.9.180.108,0,2/21/16 17:15,2/21/16 17:43,1,1,1,1,1,1,,1,,,,4,4,4,1,1,2,0,5,4,4,5,4,5,5,5,1,1,1,2,1,2,1,2,3,3,2,2,2,2,2,1,5,3,5,5,4,2,2,1,4,3,4,3,5,4,2,1,4,2,34,1,4,1,,consultant,8,4,says what he thinks does what he wants,,,,,,,,1,5,5,2,2,5,,,,,,,,,,,,,,,,,,,2,,1,mic2,33.05810547,-112.0475998,-1,2.43,14.1,2.82
R_28YgR0C6FIHx5U9,Default Response Set,Anonymous,,,173.3.146.131,0,2/21/16 17:34,2/21/16 17:43,1,1,1,1,1,1,,,1,,,1,1,1,1,1,survey,survey,2,2,4,4,5,2,4,4,3,3,3,1,3,2,2,4,3,2,2,3,3,2,3,4,3,1,3,4,4,5,2,2,3,4,3,5,3,4,2,2,4,2,46,1,3,1,,Business consultant,8,4,"Boring, tries to eat dinner with parents weekly even if that cuts into time with friends.  Buys clothes from thrift store and does not like spending money.  Splits checks!  Sometimes misses deadlines because he lacks the confidence to know once a project is finished.  Finishes what he started even if it takes him waaaay to long.",,,,,,,,,,,,,,1,4,2,1,0,4,,,,,,,,,,,,,2,,1,mic3,40.63090515,-73.71160126,-1,2.395989011,104.63,2.55195122
R_3L4RqQUWWbZr8oT,Default Response Set,Anonymous,,,104.36.155.138,0,2/21/16 17:33,2/21/16 17:44,1,1,1,1,1,1,,,,,1,5,4,4,1,1,survey,survey,5,5,2,5,4,2,4,4,3,5,4,2,3,3,4,4,5,2,4,4,3,3,3,3,4,3,3,5,4,3,2,1,2,3,2,4,3,4,2,2,5,1,33,1,4,1,,Measurement,5,4,"He is a go getter, sometimes gets kicked out of bars for being too rowdy but his friends say he is the life of the party.  If he says he is going to do something then its as good as done,",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,2,,1,mic5,36.42179871,-96.0542984,-1,2.449836066,75.35,2.216176471
R_3lK9o3dRRr4UzNm,Default Response Set,Anonymous,,,173.228.38.161,0,2/21/16 17:33,2/21/16 17:44,1,1,1,1,1,1,1,,,,,1,1,1,1,1,survey,survey,5,1,2,4,6,4,1,5,4,4,4,1,4,1,4,4,1,3,4,4,3,2,1,1,5,1,2,5,5,2,2,3,3,4,3,4,4,4,3,3,4,1,52,2,4,2,,small business owner,8,4,"He doesn't cheat and reports those who do.  Cheating is a thought that has never crossed his mind.  He mostly does things alone.  He does dangerous things, including piloting a speed boat with little experience.  He feels that he doesn't need to rely on others.",1,1,5,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,37.78979492,-122.245697,-1,2.532282609,94.16,2.544864865
R_1hZvB7YnVLwoxYQ,Default Response Set,Anonymous,,,99.119.33.171,0,2/21/16 17:35,2/21/16 17:47,1,1,1,1,1,1,,,,1,,5,3,3,1,1,survey,survey,4,4,3,4,4,4,3,4,4,4,4,4,5,2,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,2,3,2,3,4,4,3,3,3,3,3,3,36,2,3,1,,Self Employed ,6,1,Michael studied and read a lot.,,,,,,,,,,,,,,,,,,,,1,3,3,3,4,4,,,,,,,2,,1,mic4,38.26669312,-85.80590057,-1,2.431037736,12.7,2.54
R_3s4BKBfkJmRVzBV,Default Response Set,Anonymous,,,108.199.109.137,0,2/21/16 17:41,2/21/16 17:49,1,1,1,1,1,1,,,,1,,5,5,5,1,1,survey,survey,4,2,3,6,5,4,4,4,5,4,5,1,2,1,4,6,3,3,3,4,5,3,2,4,4,2,3,6,3,4,2,3,2,4,2,4,2,3,1,2,4,1,39,1,4,1,,Retail clerk,8,4,"Michael is very detail oriented which causes him to be reluctant to call work finished and he sometimes misses deadlines. He likes history and literature and will often talk about them even if it is barely relevant, or only appeals to a few people in the group. He easily makes friends because he is a conversationalist but people tend to think his conversations feel rushed. He often makes plans he doesn't intend to follow through on because he is caught up in the social aspect of the moment. He is dedicated to his parents and has dinner with once a week, sometimes at the exclusion of his friends.",,,,,,,,,,,,,,,,,,,,1,5,4,5,2,6,,,,,,,2,None,1,mic4,42.65750122,-83.47869873,-1,2.431037736,219.23,2.435888889
R_2qpG2UFZeVOyGPb,Default Response Set,Anonymous,,,108.61.228.131,0,2/21/16 17:30,2/21/16 17:49,1,1,1,1,1,1,,,,1,,5,4,4,1,1,survey,survey,3,1,3,5,4,6,4,4,3,3,4,1,3,1,6,3,2,1,4,6,5,3,1,2,4,1,1,4,3,2,2,2,3,2,3,4,3,3,5,3,4,2,29,1,4,1,,stay at home parent,5,3,He is a detail oriented perfectionist and sometimes this gets in the way of getting things done because he never thinks it's perfect enough. He talks easily well with new people and often goes off on tangents when he talks about history.,,,,,,,,,,,,,,,,,,,,1,6,6,4,5,5,,,,,,,2,,1,mic4,42.01519775,-87.99009705,-1,2.431037736,81.2,2.388235294
R_1jp7vbPmvY8BV45,Default Response Set,Anonymous,,,76.178.189.101,0,2/21/16 17:45,2/21/16 17:51,1,1,1,1,1,1,1,,,,,4,5,2,1,1,survey,survey,4,4,2,5,5,3,2,4,4,5,3,1,2,3,3,4,4,5,2,3,5,2,4,4,4,1,5,4,4,2,2,1,2,5,2,4,2,3,2,2,5,1,22,2,4,3,,Academic Coach,8,3,Michael has recently become interested in foreign culture and has been going to ethnic restaurants and doing some other things and now talks a lot about these with friends. / He doesn't have many friends and only really connects with business connections because he doesn't feel like he needs more. / He likes adventure sports and adrenaline rushes and has had some dangerous encounters because of it. / He needs to save money so doesn't donate to charity or loan to friends very often.,1,0,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,47.78919983,-117.0265961,-1,2.532282609,145.52,2.30984127
R_3RenqaBDCMLdbLg,Default Response Set,Anonymous,,,104.54.84.185,0,2/21/16 17:29,2/21/16 17:53,1,1,1,1,1,1,,,1,,,5,6,4,1,1,survey,survey,6,2,2,6,6,5,2,6,4,4,5,1,4,3,4,6,3,2,3,5,5,1,2,1,4,3,2,6,6,3,2,1,3,4,3,4,2,5,2,3,4,1,26,1,5,1,,computer programmer,8,4,"I remember reading that he rarely lends money to friends unless it's dire, and once he's made up his mind to do something, it's as good as done,  no matter how long it might take or difficult the going might be. Also, he reads a lot and is very articulate.       ",,,,,,,,,,,,,,1,5,1,6,6,6,,,,,,,,,,,,,2,I found the study to be engaging and enjoyable.,1,mic3,37.67030334,-121.0168991,-1,2.395989011,92.18,2.363589744
R_12DYaXkoHGNZ0TY,Default Response Set,Anonymous,,,187.247.175.25,0,2/21/16 17:48,2/21/16 17:54,1,1,1,1,1,1,,,,,1,5,1,1,1,1,survey,survey,5,4,5,5,5,2,4,5,2,3,4,1,3,5,2,5,4,4,4,5,4,2,3,4,4,2,5,5,4,3,2,2,3,4,2,3,3,4,2,2,4,2,31,2,4,1,,Tutor,6,3,He is very talkative. He is high energy. He is wrapped up in his social life. Sometimes he makes plans but doesn't follow through. He studies hard. He reads a lot and talks about what he reads a lot. He is very goal oriented and stubborn. ,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,2,1,2,,1,mic5,20.6499939,-103.3167038,-1,2.449836066,105.52,2.776842105
R_1GBusX69m0OA7Wn,Default Response Set,Anonymous,,,174.17.230.122,0,2/21/16 17:44,2/21/16 17:56,1,1,1,1,1,1,,,,,1,2,1,1,1,1,survey,survey,3,3,1,4,3,4,4,3,4,3,5,1,1,4,4,4,3,3,5,5,3,5,3,4,4,3,2,3,3,4,2,4,4,3,3,3,4,4,3,4,2,3,62,1,4,1,,retired,8,3,"likes to talk, agrees to things but doesn't followup, likes to drink and sometimes gets kicked out of bars for being disorderly, likes to do dangerous things. ",,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,4,2,2,liked it,1,mic5,33.50799561,-112.1253967,-1,2.449836066,28.84,2.06
R_2iy4UpOBjhH4hCF,Default Response Set,Anonymous,,,75.143.104.28,0,2/21/16 17:44,2/21/16 17:56,1,1,1,1,1,1,,1,,,,1,1,1,1,1,survey,survey,6,2,4,6,6,4,4,6,3,4,2,1,3,1,3,6,4,3,1,1,3,1,1,1,4,1,4,6,6,1,2,1,2,5,2,5,2,5,1,1,5,1,38,1,4,1,,Dispatcher,6,4,"He always says what is on his mind.  He often corrects grammar when he is speaking to someone.  He reads a lot.  Once he makes up his mind, he works until he reaches his goal.",,,,,,,,1,6,6,0,0,6,,,,,,,,,,,,,,,,,,,2,Interesting survey.  Thanks,1,mic2,33.51469421,-86.55319977,-1,2.43,85.86,2.960689655
R_sLLyEYM7Ibp0CkN,Default Response Set,Anonymous,,,173.18.183.190,0,2/21/16 17:48,2/21/16 17:57,1,1,1,1,1,1,,,,1,,5,5,5,1,1,survey,survey,5,3,4,5,5,5,5,5,3,5,5,2,4,6,5,6,4,5,5,5,3,5,3,3,4,4,4,5,5,5,2,4,5,4,4,5,2,4,4,1,5,3,23,2,4,3,,realtor,7,3,he eats dinner with his parents once a week. he makes friends wherever he goes. and he makes plans to do things just for the social interaction of it. he likes to talk about things he has recently learned. he likes to read a lot.,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,,,,,,,2,,1,mic4,36.44000244,-87.88349915,-1,2.431037736,93.65,2.675714286
R_1gMgIPjAPlNHq92,Default Response Set,Anonymous,,,205.185.227.44,0,2/21/16 17:44,2/21/16 18:01,1,1,1,1,1,1,,,1,,,5,6,5,1,1,survey,survey,6,4,4,3,3,2,2,3,1,6,2,1,4,1,4,5,1,2,1,5,4,1,1,2,5,2,5,6,4,1,2,3,2,4,2,5,2,4,2,2,3,2,38,1,4,1,,Inventory Auditor,5,3,"Michael is very close to his parents. He has dinner with them every week and calls them often. Michael is very detail-oriented and focuses on every project producing high results. He will sometimes overcomplicate assignments making them harder causing him to miss deadlines. He avoids spending money when possible, often buying money from thrift shops. ",,,,,,,,,,,,,,1,6,6,6,6,0,,,,,,,,,,,,,2,,1,mic3,35.81930542,-88.95220184,-1,2.395989011,103.87,2.663333333
R_3oWVOdY51Lp6IYW,Default Response Set,Anonymous,,,32.209.234.64,0,2/21/16 17:58,2/21/16 18:04,1,1,1,1,1,1,1,,,,,5,4,4,1,1,survey,survey,4,4,3,5,5,4,5,4,5,4,5,4,5,5,4,5,4,3,4,3,5,5,4,4,5,5,5,4,5,5,2,4,3,4,4,4,3,4,3,4,3,4,29,1,2,1,,analyst,9,4,"Michael is a student that will tell on classmates who he saw broke school rules like cheating on an exam. Recently started to keep up to date with cultural knowledge such as learning Europe, music appreciation and eating out at ethnic restaurants. He has limited friends and do not rely on anyone. He saves money in order to improve his life via coupons, buy things on sale sales, and avoid donating/lending money to friends.",1,5,4,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,mic1,41.7039032,-72.5460968,-1,2.532282609,160.81,2.680166667
R_1HodfsIgPu4vPDI,Default Response Set,Anonymous,,,104.173.76.118,0,2/21/16 17:48,2/21/16 18:04,1,1,1,1,1,1,,,1,,,5,3,3,1,1,survey,survey,2,4,5,6,4,5,4,4,6,5,2,1,2,3,5,5,3,1,4,3,3,6,1,6,4,1,1,5,6,2,2,5,3,5,3,3,3,3,2,3,3,1,25,2,3,1,,Self-employed ,6,1,He eats dinner at his parents house once a week. He shops at thrift stores and only lets his friends borrow money if he feels that they really need it.,,,,,,,,,,,,,,1,5,0,6,3,5,,,,,,,,,,,,,2,Cool survey.,1,mic3,34.72970581,-118.1575012,-1,2.395989011,68.71,2.862916667
R_V1BZHKa9Jepv9vj,Default Response Set,Anonymous,,,24.120.53.14,0,2/21/16 17:48,2/21/16 18:07,1,1,1,1,1,1,1,,,,,3,4,4,1,1,survey,survey,4,5,2,4,4,2,1,4,2,6,4,1,5,4,2,4,5,4,2,2,4,2,3,3,5,2,5,5,4,4,2,1,4,3,3,2,3,4,1,2,4,3,45,2,4,1,,secretary,7,4,"Michael says he never lied and tells on friends who lie/cheat.  Once he makes his mind up to do something, he will get it done - no matter how long it takes.  He is interested in foreign culture and art.  He likes to patronize ethnic restaurants.  He currently likes to save money and for this reason he won't donate to charity or lend money to friends at this time.",1,2,4,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,2,"To clarify my answer on hobbies.  I find hobbies that hold my interest very strongly for a while (3-6 months) and then something else will pop up.  From time to time I come back to previous hobbies.  However, I don't have any specific hobbies I am ALWAYS interested in.",1,mic1,36.17500305,-115.1371994,-1,2.532282609,143.46,2.608363636
R_A5PnJ1vJAAR7zYB,Default Response Set,Anonymous,,,68.206.181.5,0,2/21/16 17:51,2/21/16 18:07,1,1,1,1,1,1,,1,,,,1,0,0,1,1,survey,survey,6,1,2,4,5,2,2,4,4,4,3,1,4,1,5,5,3,2,2,4,2,2,1,5,5,1,1,5,2,1,2,3,2,2,3,4,3,3,2,3,2,3,32,2,7,1,,Self-employed,5,3,"Michael likes to speak his mind whenever possible. Once when his friend asked hi  for his opinion on his painting, he told him that it needed more work. /  / Michael likes to live a life of adventure and has done such things as go backcountry skiing without any avalanche training, climbed Mount Rainier, and other activities like them. He's even risked deaths several times, all for the thrill. /  / Michael is friendly and makes a lot of acquaintances. He is quick to make plans with them, but is known not to follow through. However, when he makes plans of his own, he doesn't stop until he accomplishes what he had in mind.",,,,,,,,1,0,0,1,0,5,,,,,,,,,,,,,,,,,,,2,,1,mic2,31.74349976,-106.2968979,-1,2.43,204.04,2.488292683
R_3gL4gWdkYwaO0j0,Default Response Set,Anonymous,,,72.91.146.109,0,2/21/16 17:59,2/21/16 18:08,1,1,1,1,1,1,,,,,1,5,4,5,1,1,survey,survey,5,2,2,5,4,3,4,4,3,5,2,1,5,1,4,6,1,2,2,2,2,2,2,3,4,3,2,5,4,4,2,3,2,3,2,4,2,4,3,3,2,3,35,2,2,1,,Homemaker,8,5,"He is an outgoing person, He loves party and one time he got kick out of a bar for being too rowdy. He is the energy of a party and everybody likes him. He loves books and loves to discuss about the book he read to other people even if it is not in their conversation. He loves dangerous and challenging things like kayaking and sky diving. He even loves things that maybe he is not supposed to do",,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,5,1,2,He looks like a nice man for a friend but not for a best friend,1,mic5,27.90029907,-82.30239868,-1,2.449836066,176.32,2.631641791
R_31AYzosSW1W6Xdr,Default Response Set,Anonymous,,,104.137.43.247,0,2/21/16 17:56,2/21/16 18:08,1,1,1,1,1,1,,,,1,,5,5,5,1,1,survey,survey,5,2,2,6,4,2,6,3,3,1,5,1,2,3,6,4,1,5,6,3,2,6,1,4,5,2,2,3,2,5,2,2,4,4,4,4,4,3,5,3,4,3,56,2,4,1,,home maker,6,5,"Michael makes sure he has dinner with hisparents weekly even if he has to neglect his friend. Michael can meet peoplevery easy although he seems hurried when inconversation. Michael accomplishes his work efficiently and at times does outstanding work. Problem is, Michael never feels like his work is finished.",,,,,,,,,,,,,,,,,,,,1,5,5,2,5,6,,,,,,,2,,1,mic4,32.47810364,-86.35980225,-1,2.431037736,91.03,2.600857143
R_3EmXhsDdkgWUZvu,Default Response Set,Anonymous,,,104.138.133.153,0,2/21/16 17:29,2/21/16 18:10,1,1,1,1,1,1,,,,,1,5,4,4,1,1,20,10,5,5,3,5,3,5,5,4,5,3,5,2,5,6,5,4,3,4,5,6,2,3,1,3,5,2,2,5,4,5,2,2,1,4,2,5,1,4,3,3,3,4,23,1,4,1,,Cashier,8,3,"Mike is likeable enough. He gets along with most of his friends. He likes to go out in bars, sometimes getting kicked out for being too rowdy, but most people know he doesn't have bad intentions. He often schedules things he has no intention of completing, like hanging out with others. If he sets himself to a task, he always completes it.",,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,6,5,2,2,,1,mic5,36.05360413,-80.31539917,-1,2.449836066,114.64,2.547555556
R_2uHXCB6wkGGTFkr,Default Response Set,Anonymous,,,98.23.82.139,0,2/21/16 17:57,2/21/16 18:10,1,1,1,1,1,1,,,1,,,5,5,4,1,1,survey,survey,6,6,2,5,5,2,2,6,2,2,5,1,3,5,5,6,4,3,2,2,6,2,2,2,5,1,5,6,6,3,5,3,3,5,4,5,3,5,3,5,4,4,55,2,4,1,,Retail inventory ,8,3,"He does not like to spend money. He often buys clothes at thrift shops. He is very good at dividing bills, He eats with his parents at least once a week. He has kept this routine up a long while. He is well read. Often talks at length about topics he has read recently. ",,,,,,,,,,,,,,1,6,6,2,5,0,,,,,,,,,,,,,2,Interesting,1,mic3,37.86470032,-84.56420135,-1,2.395989011,127.49,2.771521739
R_2pVLIymyUJMnBlD,Default Response Set,Anonymous,,,96.239.112.81,0,2/21/16 18:00,2/21/16 18:11,1,1,1,1,1,1,,,,1,,5,5,4,1,1,survey,survey,6,5,2,6,5,1,4,5,2,6,2,1,2,1,1,5,1,2,3,1,5,2,3,2,4,1,5,6,5,2,2,2,3,4,3,5,3,4,2,3,4,1,56,2,4,1,,Membership Coordinator,8,5,"Michael is a hard worker and likes to do things well down to the most minute details. If he commits to doing a job, it's pretty much sure that he will do it, no matter how difficult the endeavor will prove to be. He always gets the job done event though it might take much longer than expected because he has a hard time considering his work ""finished"" due to his perfectionism. /  / He knows a lot and reads and learns avidly - he loves talking about things he just learned and eagerly communicates with people on that level even when people are not really interested. He has no problem meeting new people at social events because he loves talking, but he won't necessarily pursue the social commitments he makes when meeting new people.  /  / He is very attached to his parents and alwayss makes sure to see them once a week, even if it means spending less time with his friends.",,,,,,,,,,,,,,,,,,,,1,6,4,3,5,6,,,,,,,2,,1,mic4,40.61000061,-73.91079712,-1,2.431037736,321.46,2.491937985
